Class 0 Words,Class 0 Probabilities,Class 1 Words,Class 1 Probabilities
.,0.07930378329975375,.,0.05652173913043478
",",0.026024177300201477,!,0.02434782608695652
?,0.025576449518692635,",",0.023478260869565216
u,0.0189164987687486,call,0.020543478260869566
...,0.018748600850682785,Â£,0.01391304347826087
!,0.017181553615401836,free,0.010543478260869566
..,0.014942914707857623,/,0.009130434782608696
;,0.013152003581822252,2,0.008804347826086956
&,0.013096037609133646,&,0.008695652173913044
go,0.01113722856503246,?,0.008478260869565218
